Email sent date,Email sent time,sent_timestamp,Posting URL,Posting Title,Posting Body Text,Post timestamp,Listing Price,"Listing Type (house, apt., etc)",Poster Gender,Poster Age,Treatment,Reply?,Favorable Reply?,reply_date,reply_time,Gender in email,Age in email
3/21/19,9:43 AM,3/21/19 9:43,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-female-roommate/6837532105.html,$550 Looking for a female roommate (Indianapolis),"Housemate Needed- Looking for low key, drama free, and responsible person. Super nice room for rent ..huge deck ..nice room. Near bus stop and train station. New re frig, washer/dryer, tile system, and new paint. Rent is $499 base rent. All Bills Paid is $550 for the regular room. Full access to: kitchen, living room, dining room, front yard, and back yard. Please reply with your name, employment status, contact number.",3/9/19 15:37,550,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,10:00 PM,3/21/19 22:00,https://indianapolis.craigslist.org/roo/d/indianapolis-rooms-for-rent/6825811563.html,$150 Rooms For Rent (107 West 33rd Street),"WEST: 33rd & Illinois St (107 W. 33rd) Rooms available minutes from IVY Tech. Starting from $150/wk to $185/wk or $540/mo to $640/mo, which Includes all utilities, fully furnished bedroom with full/queen-size bed, has private suites with full or half bath, mini fridge, and microwave in all rooms, Wi-Fi, shared eat-in kitchen, washer & dryer.",2/22/19 16:31,540,house,NA,NA,katie_27,N,N,NA,,,
3/21/19,10:02 PM,3/21/19 22:02,https://indianapolis.craigslist.org/roo/d/plainfield-looking-for-roommate/6846983229.html,$390 looking for roommate! (plainfield),"My current lease is up May 31st, and I'm looking for either a roommate to fill my current roommates spot or to move to another apartment complex within the Plainfield area. I'm a 21 yr old female with 2 dogs. My current apartment is a 2 bed 1 bath upstairs unit that's about 750 square feet. Please contact me for more info. :)",3/21/19 14:44,390,apartment,female,21,katie_27,N,N,NA,,,
3/21/19,10:03 PM,3/21/19 22:03,https://indianapolis.craigslist.org/roo/d/indianapolis-private-room-with-private/6846888747.html,$400 Private Room with Private Bathroom (Indianapolis),Newly Renovated Furnished Room with private bathroom and shared kitchen for $400 a month!,3/21/19 13:12,400,NA,NA,NA,katie_27,Y,Y,3/23/19,6:32:00 AM,,
3/21/19,10:05 PM,3/21/19 22:05,https://indianapolis.craigslist.org/roo/d/noblesville-clean-one-bedroom-available/6846871877.html,$550 Clean One bedroom available (46060),"One bedroom private bath 550.00 includes utilities. New construction 5 years old, nice place. Clean safe neighborhood. Families and kids. Nearby parks and trails",3/21/19 12:57,550,NA,NA,NA,katie_27,Y,Y,3/23/19,6:17:00 AM,presumed male,
3/21/19,10:06 PM,3/21/19 22:06,https://indianapolis.craigslist.org/roo/d/indianapolis-sunny-spacious-private/6835648986.html,$400 Sunny spacious private bedroom in 3BR apartment (Westfield),"A sunny spacious private bedroom in 3BR apartment at Westfield is available between 17 March 18 (Sat) to 2 Apr 18. (Sun). We are located on Kirkland st, 10 min walk from Westfield Red line T stop. The bedroom is fully furnished and the rent is $400 (includes everything). You will be sharing bathroom and kitchen with two other roommates. We are clean, neat, responsible and we spend most of the time at school. Please note that the apartment does not have a living room. Coin operated laundry is in the basement. Street parking is available. No smoking, no party, no drugs please.",3/7/19 11:16,400,apartment,NA,NA,katie_27,N,N,NA,,,
3/21/19,9:44 PM,3/21/19 21:44,https://indianapolis.craigslist.org/roo/d/indianapolis-96th-and-allisonville/6846803344.html,$525 / 1295ft2 - 96th and Allisonville - Available April 1st,"Seeking clean, respectful roommate on a month-to-month lease.

What comes with rent:
1 bedroom
1.5 shared bathrooms
1 twin bed
1 closet (additional space as needed)
Kitchen is usable and can use all utensils/cookware - must be kept cleaned
1 garage parking spot (no snow in the morning!)
All utilities included
Wifi included; working on a 5g package.

About me:
I'm not a neat freak, but I am clean. I like my place to stay clean whenever possible.
I have a potty-trained and well-mannered pomsky on site - he is not allowed in the tenant's room. He does not bark or howl.
If I have an issue, I voice my opinion and compromise on resolutions. I respect tenants who voice their opinions as well. I tend to get along with everyone, so this is simply a disclosure.

Expectations:
Noise should be kept to a moderate level. I do not mind guests, so long as the neighbors do not complain.
This is my home as well as yours - please keep it clean and classy!
Communicate.
No hard drugs. I do not mind if you smoke outside or in the garage, but absolutely nothing inside.

Please email with questions and to set up a showing. Typical response time is within minutes, but please give me 24 hours for when I am busy at work or on the road.",3/21/19 11:52,525,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,10:07 PM,3/21/19 22:07,https://indianapolis.craigslist.org/roo/d/greenwood-furnished-bedroom-with-its/6844204579.html,"$380 / 1800ft2 - furnished bedroom with its own full bathroom is available (310 Main St W, Greenwood, IN)","A furnished bedroom with its own full bathroom is available in a 2B2B apartment located in Greenwood, Indiana.The unit includes washer/dryer, dishwasher, oven, microwave, high speed internet, , air conditioner/heater, a beautiful lake view, etc.The apartment community offers free 24/7 access to gym, indoor basketball court, outdoor tennis court, pool and hot tub, paved jogging path, beautiful clubhouse, 24 Hour Maintenance Service Guarantee, Garages, Carports and Storage AvailableThis is only open to female, no children no big pets. prefer someone who's currently a student or working.Location in 310 Main St W, Greenw",3/18/19 10:48,380,apartment,NA,NA,katie_27,N,N,NA,,,
3/21/19,9:35 PM,3/21/19 21:35,https://indianapolis.craigslist.org/roo/d/indianapolis-one-bedroom-is-available/6831003510.html,"$400 / 1700ft2 - One bedroom is available in a 2 bedroom, 2.5 bath house (499 E 14th St, Indianapolis, IN)","One bedroom is available in a 2 bedroom, 2.5 bath house in central Carmel. The house is located in a safe and quiet neighborhood, close to the freeways, Monon trail, the Performing Art Center, Library, dinning and shopping.Private bedrooms and shared bathroom with another three professional male housemates. The housemate can also use the first floor kitchen, laundry, living and dining room.Location in 499 E 14th St, Indianapolis, IN 46202, United States",3/1/19 12:05,400,house,male,NA,katie_43,N,N,NA,,,
3/21/19,9:45 PM,3/21/19 21:45,https://indianapolis.craigslist.org/roo/d/room-for-rent-550-month-includes-all/6846708790.html,$550 Room for rent- $550/month INCLUDES ALL UTILITIES EXCEPT DISHWASHER,"Hi, I have a room for rent in my Fishers house. The house is located in a very good neighborhood off 131st and cumberland road, near Fishers High. Rent is 550/month including all utilities except dishwasher! Room is NOT furnished! Preferably someone who is clean and organized. For further details including pictures and dimensions, please contact me via email or phone/text. Thanks for looking.",3/21/19 10:14,550,NA,NA,NA,katie_43,Y,Y,3/22/19,5:32:00 AM,,
3/21/19,8:44 PM,3/21/19 20:44,https://indianapolis.craigslist.org/roo/d/indianapolis-share-house-near-airport/6847331771.html,$600 Share house near airport - month to month (West Washington street),"Share house, private basement bedroom and private bathroom. King size sleigh bed, all furnished. Linens, towels etc. Tv provided. All utilities included in price of monthly rent. Comcast cable, WiFi, central a/c. Washer and dryer. Own refrigerator. Wound share the kitchen. One person only, no pets. If interested please contact me. It’s available now.",3/21/19 22:38,600,house,NA,NA,katie_43,Y,Y,3/22/19,5:49:00 AM,,
3/21/19,8:47 PM,3/21/19 20:47,https://indianapolis.craigslist.org/roo/d/greenwood-2-bedroom-1-bath-to-share/6847218336.html,$420 / 820ft2 - 2 bedroom 1 bath to share (Greenwood),"Semi retired female seeking responsible person to share. Laid back, just don't want someone who brings the party home.",3/21/19 19:15,420,apartment,female,NA,katie_43,Y,Y,3/23/19,1:53:00 PM,,
3/21/19,8:57 PM,3/21/19 20:57,https://indianapolis.craigslist.org/roo/d/indianapolis-furnished-room-in-adorable/6847161772.html,"$425 Furnished Room in Adorable Bungalow, Everything Included! (N Bosart Ave Indianapolis, IN)","We have a furnished room in our super cute and stylish bungalow for rent short-term. Available April 5! 1, 2, or 3 month lease. Includes all utilities, internet. Washer and dryer in the house, and easy street parking. Giant fenced in yard with deck and garden! Very near Irvington restaurants and shops, and close to Mass Ave and I70. Perfect for students or folks who are new in town and trying on neighborhoods. We are a queer couple in our late 20s/mid 30s, and have 2 small dogs and two quiet cats. One of us works from home in a basement office. We are pretty quiet and tidy.",3/21/19 18:00,425,house,NA,late 20s/mid 30s couple,katie_43,N,N,NA,,,
3/21/19,9:00 PM,3/21/19 21:00,https://indianapolis.craigslist.org/roo/d/indianapolis-room-mates/6847167359.html,$400 Room mates (Indianapolis),We are looking for honest people no drama people get along with good hearted can give the money up front 400 month are 100 a week,3/21/19 18:07,400,NA,NA,NA,katie_43,N,N,NA,,,
3/21/19,9:10 PM,3/21/19 21:10,https://indianapolis.craigslist.org/roo/d/indianapolis-roommate-wanted-in-nice/6847102799.html,"$360 Roommate wanted in NICE house (Indianapolis, IN)","In Brooking..2 stall garage and more off street parking. It is a nice part of town on a well traveled street. so the street is well maintained during winter months. Full back yard, garden, patio, fire pit, large grill, garden shed. I will be using the master bath.. there is another full bath and 2 bedrooms on main floor. 1 room in the finished basement with 3/4 bath.",3/21/19 16:51,360,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,9:52 PM,3/21/19 21:52,https://indianapolis.craigslist.org/roo/d/hanover-looking-roomates/6847136751.html,"$500 Looking roomates (Indianapolis,in) ","Looking to rent a room ... LOCATION MADISON, INDIANA, About us we are a couple with one small child looking to open are house up and rent out a room with private bathroom and wifi wireless an storage space and open parking available if you have a vehicle looking for rent wise weekly about 150 biweekly250 monthly 500 that includes wifi your also responsible for a 50 a month utilitie payment different prices for different ways a payment cheaper payment more monthly is how we choose to set it up but can be negotiated depending on seriousness of needing a place give us a call we can talk we are open to talking about the situation my names Mark and have a blessed day and like I said depending on your income we can discuss payment for rent and deposit",3/21/19 17:30,500,house,male,NA,katie_27,Y,Y,3/22/19,8:51:00 AM,presumed female,
3/21/19,9:53 PM,3/21/19 21:53,https://indianapolis.craigslist.org/roo/d/indianapolis-2-rooms-available/6847121929.html,$450 / 700ft2 - 2 rooms available (Indy east),Beautiful Victorian home with two large bedrooms available Ready to move in. Master suite is $450 Other large bedroom is $400,3/21/19 17:12,450,house,NA,NA,katie_27,Y,Y,3/22/19,9:51:00 AM,,
3/21/19,9:42 PM,3/21/19 21:42,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-roommate/6834655212.html,$500 Looking For A Roommate (Fishers Indiana),"Hi. I am a 49 year old female. I have a 2 bedroom apartment in downtown Fishers. My roommate was transferred to Florida and I am looking for someone to share the place with. Large bedroom with big walk-in closet, private sink and private bathroom entrance. Very nice neighborhood. Serious inquiries only please.",3/6/19 6:45,500,apartment,female,49,katie_43,N,N,NA,,,
3/21/19,9:56 PM,3/21/19 21:56,https://indianapolis.craigslist.org/roo/d/indianapolis-broad-ripple-room-in-house/6834655583.html,$400 Broad Ripple Room in House (Indianapolis),"Room available as soon as needed ($400 rent, $500 deposit). Two guys living in the house currently. Both are professionals in their early 30s. Work hard and mostly chill during the week. We occasionally party on the weekends but usually involves friends hanging out, watching sports or walking down to the nearby Broad Ripple strip. Responsible, employed inquiries only. Please email me some information about yourself if you are interested along with a contact phone number and I will reach out to you",3/6/19 6:47,400,house,male,early 30s,katie_27,N,N,NA,,,
3/21/19,10:00 PM,3/21/19 22:00,https://indianapolis.craigslist.org/roo/d/indianapolis-females-for-one-room-in/6839395208.html,"$600 Females for one room in a two-bedroom apartment for rent (9 on canal, Indianapolis)","Hi! I am looking for a female to rent a bedroom in a two-bedroom 9 on canal apartment, Indianapolis. The room comes furnished with a bed, side table and a study table-chair. The room has an attached closet and bathroom with 24 *7 access to hot water. The house has a living room with sofa, coffee table, and a TV. The apartment comes with inhouse laundry unit. The apartment has a nice cozy environment with amenities like coffee shop, swimming pool, 24*7 access to the gym and an open terrace area. It has an attached garage. The lease is currently till 09/22/2019. Please see the attached photos and link to the apartment. Interested person can move in from April. https://www.9oncanal.com/9-on-canal-apartments-indianapolis-in/",3/12/19 7:02,600,apartment,NA,NA,katie_27,N,N,NA,,,
3/21/19,9:43 AM,3/21/19 9:43,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-female-roommate/6837532105.html,$550 Looking for a female roommate (Indianapolis),"Housemate Needed- Looking for low key, drama free, and responsible person. Super nice room for rent ..huge deck ..nice room. Near bus stop and train station. New re frig, washer/dryer, tile system, and new paint. Rent is $499 base rent. All Bills Paid is $550 for the regular room. Full access to: kitchen, living room, dining room, front yard, and back yard. Please reply with your name, employment status, contact number.",3/9/19 15:37,550,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,10:00 PM,3/21/19 22:00,https://indianapolis.craigslist.org/roo/d/indianapolis-rooms-for-rent/6825811563.html,$150 Rooms For Rent (107 West 33rd Street),"WEST: 33rd & Illinois St (107 W. 33rd) Rooms available minutes from IVY Tech. Starting from $150/wk to $185/wk or $540/mo to $640/mo, which Includes all utilities, fully furnished bedroom with full/queen-size bed, has private suites with full or half bath, mini fridge, and microwave in all rooms, Wi-Fi, shared eat-in kitchen, washer & dryer.",2/22/19 16:31,540,house,NA,NA,katie_27,N,N,NA,,,
3/21/19,10:02 PM,3/21/19 22:02,https://indianapolis.craigslist.org/roo/d/plainfield-looking-for-roommate/6846983229.html,$390 looking for roommate! (plainfield),"My current lease is up May 31st, and I'm looking for either a roommate to fill my current roommates spot or to move to another apartment complex within the Plainfield area. I'm a 21 yr old female with 2 dogs. My current apartment is a 2 bed 1 bath upstairs unit that's about 750 square feet. Please contact me for more info. :)",3/21/19 14:44,390,apartment,female,21,katie_27,N,N,NA,,,
3/21/19,10:03 PM,3/21/19 22:03,https://indianapolis.craigslist.org/roo/d/indianapolis-private-room-with-private/6846888747.html,$400 Private Room with Private Bathroom (Indianapolis),Newly Renovated Furnished Room with private bathroom and shared kitchen for $400 a month!,3/21/19 13:12,400,NA,NA,NA,katie_27,Y,Y,3/23/19,6:32:00 AM,,
3/21/19,10:05 PM,3/21/19 22:05,https://indianapolis.craigslist.org/roo/d/noblesville-clean-one-bedroom-available/6846871877.html,$550 Clean One bedroom available (46060),"One bedroom private bath 550.00 includes utilities. New construction 5 years old, nice place. Clean safe neighborhood. Families and kids. Nearby parks and trails",3/21/19 12:57,550,NA,NA,NA,katie_27,Y,Y,3/23/19,6:17:00 AM,presumed male,
3/21/19,10:06 PM,3/21/19 22:06,https://indianapolis.craigslist.org/roo/d/indianapolis-sunny-spacious-private/6835648986.html,$400 Sunny spacious private bedroom in 3BR apartment (Westfield),"A sunny spacious private bedroom in 3BR apartment at Westfield is available between 17 March 18 (Sat) to 2 Apr 18. (Sun). We are located on Kirkland st, 10 min walk from Westfield Red line T stop. The bedroom is fully furnished and the rent is $400 (includes everything). You will be sharing bathroom and kitchen with two other roommates. We are clean, neat, responsible and we spend most of the time at school. Please note that the apartment does not have a living room. Coin operated laundry is in the basement. Street parking is available. No smoking, no party, no drugs please.",3/7/19 11:16,400,apartment,NA,NA,katie_27,N,N,NA,,,
3/21/19,9:44 PM,3/21/19 21:44,https://indianapolis.craigslist.org/roo/d/indianapolis-96th-and-allisonville/6846803344.html,$525 / 1295ft2 - 96th and Allisonville - Available April 1st,"Seeking clean, respectful roommate on a month-to-month lease.

What comes with rent:
1 bedroom
1.5 shared bathrooms
1 twin bed
1 closet (additional space as needed)
Kitchen is usable and can use all utensils/cookware - must be kept cleaned
1 garage parking spot (no snow in the morning!)
All utilities included
Wifi included; working on a 5g package.

About me:
I'm not a neat freak, but I am clean. I like my place to stay clean whenever possible.
I have a potty-trained and well-mannered pomsky on site - he is not allowed in the tenant's room. He does not bark or howl.
If I have an issue, I voice my opinion and compromise on resolutions. I respect tenants who voice their opinions as well. I tend to get along with everyone, so this is simply a disclosure.

Expectations:
Noise should be kept to a moderate level. I do not mind guests, so long as the neighbors do not complain.
This is my home as well as yours - please keep it clean and classy!
Communicate.
No hard drugs. I do not mind if you smoke outside or in the garage, but absolutely nothing inside.

Please email with questions and to set up a showing. Typical response time is within minutes, but please give me 24 hours for when I am busy at work or on the road.",3/21/19 11:52,525,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,10:07 PM,3/21/19 22:07,https://indianapolis.craigslist.org/roo/d/greenwood-furnished-bedroom-with-its/6844204579.html,"$380 / 1800ft2 - furnished bedroom with its own full bathroom is available (310 Main St W, Greenwood, IN)","A furnished bedroom with its own full bathroom is available in a 2B2B apartment located in Greenwood, Indiana.The unit includes washer/dryer, dishwasher, oven, microwave, high speed internet, , air conditioner/heater, a beautiful lake view, etc.The apartment community offers free 24/7 access to gym, indoor basketball court, outdoor tennis court, pool and hot tub, paved jogging path, beautiful clubhouse, 24 Hour Maintenance Service Guarantee, Garages, Carports and Storage AvailableThis is only open to female, no children no big pets. prefer someone who's currently a student or working.Location in 310 Main St W, Greenw",3/18/19 10:48,380,apartment,NA,NA,katie_27,N,N,NA,,,
3/21/19,9:35 PM,3/21/19 21:35,https://indianapolis.craigslist.org/roo/d/indianapolis-one-bedroom-is-available/6831003510.html,"$400 / 1700ft2 - One bedroom is available in a 2 bedroom, 2.5 bath house (499 E 14th St, Indianapolis, IN)","One bedroom is available in a 2 bedroom, 2.5 bath house in central Carmel. The house is located in a safe and quiet neighborhood, close to the freeways, Monon trail, the Performing Art Center, Library, dinning and shopping.Private bedrooms and shared bathroom with another three professional male housemates. The housemate can also use the first floor kitchen, laundry, living and dining room.Location in 499 E 14th St, Indianapolis, IN 46202, United States",3/1/19 12:05,400,house,male,NA,katie_43,N,N,NA,,,
3/21/19,9:45 PM,3/21/19 21:45,https://indianapolis.craigslist.org/roo/d/room-for-rent-550-month-includes-all/6846708790.html,$550 Room for rent- $550/month INCLUDES ALL UTILITIES EXCEPT DISHWASHER,"Hi, I have a room for rent in my Fishers house. The house is located in a very good neighborhood off 131st and cumberland road, near Fishers High. Rent is 550/month including all utilities except dishwasher! Room is NOT furnished! Preferably someone who is clean and organized. For further details including pictures and dimensions, please contact me via email or phone/text. Thanks for looking.",3/21/19 10:14,550,NA,NA,NA,katie_43,Y,Y,3/22/19,5:32:00 AM,,
3/24/19,7:07 PM,3/24/19 19:07,https://indianapolis.craigslist.org/roo/d/indianapolis-rent-private-room-160-wk/6836070650.html,"$160 Rent private room $160/Wk-CABLE, Utilities, Internet ALL INCLUDED (Tacoma &  E Washington)","ALL INCLUSIVE 

10 minutes from downtown 

INDY GO 3 minutes walking distance

REQUIRED 1 wk deposit + 1 wk of rent ",3/7/19 18:57,695,apartment,NA,NA,katie_27,N,N,NA,,,
3/24/19,6:17 PM,3/24/19 18:17,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-roommate-to/6849492745.html,$380 / 678ft2 - Looking for a roommate to fill one extra master bedroom! (indianapolis),"Hello!*





Wonderful bedroom with luxurious bathroom available with very reasonable
 monthly cost just close to the shopping center and all great 
restaurants. Location is really beautiful, just best for living long 
time. 



If anyone interested in this rental opportunity just contact me by going
 to my rental profile address you see i have added on the pic and learn 
more! 



I'd be happy to answer your any questions!    ",3/24/19 17:59,380,NA,female,NA,katie_43,N,N,NA,,,
3/24/19,7:07 PM,3/24/19 19:07,https://indianapolis.craigslist.org/roo/d/beech-grove-450-month-rent-covers/6849533896.html,$450 $450/month Rent Covers Everything (Indianapolis),"Hello, my name is Brian, I am 41 years old and am a school teacher of 16
 years. I have been renting out rooms in my home for many years now. I 
have rented to professionals, traveling nurses, students and even 
international students attending school at ELS, IUPUI and University of 
Indianapolis from places such as India, Saudi Arabia, China, Japan and 
Turkey. Renting my rooms has provided some great experiences in meeting 
new people and making new friends. There are two rooms for rent and are 
fully furnished (queen size bed,  TV, dresser, desk,  closet, high speed
 wireless internet w/ high speed ethernet cord in room as well, and your
 own DVR satellite for TV) and the use of a Jacuzzi hot tub. The rent 
covers everything, no hidden costs. I am looking for a clean, 
responsible and drama-free roommate who pays rent on time and cleans up 
after themselves. My home is a clean, quiet and a place to relax from a 
hard day's work. My neighborhood and home is located directly next to a 
Kroger grocery store and strip mall that includes various restaurants, a
 Planet Fitness if you like to work out as I do with LA Fitness being 
about 5 minutes from my house. I also have a Walmart/Loews within a one 
minute drive from my house. If you are a student, IUPUI is close only 
being a 12 minute drive from my house, University of Indianapolis is 
only a 5 minute drive from my house and ELS language center is only 
about 12 minute drive from my house and downtown Indianapolis about a 12
 minute drive. There is also Indy Go bus line that is located across the
 street that is accessible to you. Whether you're a professional or 
student, my home is perfect for you and is travel friendly to any 
destination being 2 minutes from I-465 interstate. My home is clean and 
pet free(no animals please), smoking is done outside. I am looking for 
someone who can, at minimum, commit to a 6 month agreement. The room for
 rent is for ONE person, not married couples or for a 
boyfriend/girlfriend or children to live in. If you are interested or 
have any questions, please feel free to contact me at  show contact info

. The rooms are on a first come, first serve basis and will be available to rent on March 24th, 2019. Thanks!    ",3/24/19 18:57,450,house,male,41,katie_27,N,N,NA,,,
3/24/19,7:08 PM,3/24/19 19:08,https://indianapolis.craigslist.org/roo/d/indianapolis-huge-2-spacious-room/6849431093.html,"$400 Huge 2 spacious room available for rent in (N Delaware St, Indianapolis, IN)","2 spacious room in a 3 bed 3 bath apartment is available right now to 
move in. Room is pretty spacious for 2 person. It will work perfect for 
someone who works in Portland. I am 24 years old, my name is Grey. I 
live a healthy lifestyle, workout and eat good. I do not smoke, do drugs
 nor drink. I understand if you do, but smoking and drugs are not 
allowed in the apartment drinking is fine if you keep it to yourself. 



I have a full time job and I am gone all day. I am probably the most 
understanding and the chill person you will ever meet.I am looking for 
someone who can pay their rent on time. Utilities are included.



*Appointment? Anytime message me here::(720) 507-5614

",3/24/19 16:38,400,apartment,NA,24,katie_27,N,N,NA,,,
3/24/19,6:23 PM,3/24/19 18:23,https://indianapolis.craigslist.org/roo/d/indianapolis-seeking-for-roommate-in/6849417861.html,"$400 Seeking for a roommate in our Townhouse. (419 E Washington St, Indianapolis, IN)","Looking for a roommate to take the master suite in our Townhouse. The 
carpeted bedroom is 10x12', with a full-sized closet, and attached 6x10'
 full-bathroom. On the third floor, it has a a nice southward view of 
the street and neighborhood. The house is thuroughly furnished, and has a
 main floor with living, dining, kitchen, project space, and half bath. 



Some storage space may be available in the garage. Parking is on the 
street, but it's a safe neighborhood. Laundry is in the basement. The 
rent is $400/month and includes all utilities.



--Appointment? Leave me a text only here:(407) 504-7095



(Included your name & profession)
",3/24/19 16:21,400,townhouse,NA,NA,katie_43,N,N,NA,,,
